id,transaction_no,line,item,qty,unit,delivered,remain_qty,po_no,warehouse_option,delivery_date,status,description
306,13414,1,Bamboo Fitted Sheet Set + 2 Pillow Cases -  Queen (160cm x 200cm)  - Moss Green,1,Set,1,0,,,,open,prepared
307,13414,2,Bamboo Pillow Cases Set (2 Pillow Cases) - 50 cm x 75 cm - Grey,1,Set,1,0,,,,open,prepared
308,13414,3,Bamboo Bolster Case Set (1 Bolster Case) - ø34.5 cm x L91 cm - Moss Green,1,Pcs,1,0,,,,open,prepared
309,13414,4,Small Packaging Box,1,Pcs,1,0,,,,open,prepared
310,13413,1,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 14.5cm) - Heveya 2,1,Pcs,1,0,,,,open,
311,13413,2,Bamboo Teak Pillow Mist - 5ml.,2,Pcs,2,0,,,,open,
312,13413,3,Heveya Pillow Bags,1,Pcs,1,0,,,,open,
313,13413,4,Heveya Natural Organic Latex Bolster - ( L92cm x ø22cm),1,Pcs,1,0,,,,open,
314,13413,5,Bolster Bag,1,Pcs,1,0,,,,open,
315,13412,1,Bamboo Cotton Duvet  Sheet Set + 2 Pillow Cases - Super King (260cm x 230cm) - White,1,Set,1,0,,,,open,
316,13412,2,Bamboo Cotton Bundle Duvet Sheet Set + 1 Pillow Case - Single (140cm x 210cm) - White,1,Set,1,0,,,,open,PRE-ORDER
317,13412,3,Heveya Bamboo Cotton Organic Inner Duvet - Single (140cm x 210cm),1,Pcs,1,0,,,,open,
318,13412,4,Bamboo Cotton Fitted Sheet Set +  2 Pillow Cases - Super King (200cm x 200cm) - White,1,Set,1,0,,,,open,
319,13412,5,Heveya Duvet Bag,1,Pcs,1,0,,,,open,
320,13411,1,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 14.5cm) - Heveya 2,2,Pcs,2,0,,,,open,
321,13411,2,Heveya Pillow Bags,1,Pcs,1,0,,,,open,
322,13411,3,Bamboo Teak Pillow Mist - 5ml.,2,Pcs,2,0,,,,open,
323,13409,1,Bamboo Flat Sheet Set + 2 Pillow Cases -  Super King/King (300cm x 300cm)  - Moss Green,1,Set,1,0,,,,open,
324,13409,2,Bamboo Fitted Sheet Set + 2 Pillow Cases - Super King (200cm x 200cm) - Moss Green,1,Set,1,0,,,,open,
325,13409,3,Bamboo Duvet Sheet Set + 2 Pillow Cases - Super King (260cm x 230cm)  - Sand,1,Set,1,0,,,,open,
326,13409,4,Bamboo Pillow Cases Set (2 Pillow Cases) -  Size (95cm x 58cm)  - White,1,Set,1,0,,,,open,
327,13409,5,Bamboo Teak Reed Diffuser.,1,Pcs,1,0,,,,open,
328,13409,6,Bamboo Teak Pillow Mist - 150ml.,1,Pcs,1,0,,,,open,
329,13409,7,Heveya Duvet Bag,1,Pcs,1,0,,,,open,
330,13406,1,Bamboo Fitted Sheet Set  + 2 Pillow Cases - Queen (160cm x 200cm) - Burnt Orange,1,Set,1,0,,,,open,
331,13406,2,Small Packaging Box,1,Pcs,1,0,,,,open,
332,13405,1,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 12.5cm) - Heveya 4,1,Pcs,1,0,,,,open,
333,13405,2,Bamboo Pillow Cases Set (2 Pillow Cases) - 50 cm x 75 cm - White,1,Set,1,0,,,,open,
334,13405,3,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 9/11.5cm) - Heveya 3,1,Pcs,1,0,,,,open,
335,13405,4,Heveya Pillow Bags,1,Pcs,1,0,,,,open,
336,13405,5,Bamboo Teak Pillow Mist - 5ml.,2,Pcs,2,0,,,,open,
